Ligne;Ligne Q qualif;Ligne approfondissement Accident;ACCIDENT;NBACC1;ACCFREQUENCE1;ANNEEACC1_1;ANNEEACC1_2;ANNEEACC1_3;ANNEEACC1_4;ANNEEACC1_5;NBACC2;ACCFREQUENCE2;ANNEEACC2_1;ANNEEACC2_2;ANNEEACC2_3;ANNEEACC2_4;ANNEEACC2_5;NBACC3;ACCFREQUENCE3;ANNEEACC3_1;ANNEEACC3_2;ANNEEACC3_3;ANNEEACC3_4;ANNEEACC3_5;NBACC4;ACCFREQUENCE4;ANNEEACC4_1;ANNEEACC4_2;ANNEEACC4_3;ANNEEACC4_4;ANNEEACC4_5;NBACC5;ACCFREQUENCE5;ANNEEACC5_1;ANNEEACC5_2;ANNEEACC5_3;ANNEEACC5_4;ANNEEACC5_5;NBACC6;ACCFREQUENCE6;ANNEEACC6_1;ANNEEACC6_2;ANNEEACC6_3;ANNEEACC6_4;ANNEEACC6_5;NBACC7;ACCFREQUENCE7;ANNEEACC7_1;ANNEEACC7_2;ANNEEACC7_3;ANNEEACC7_4;ANNEEACC7_5;NBACC8;ACCFREQUENCE8;ANNEEACC8_1;ANNEEACC8_2;ANNEEACC8_3;ANNEEACC8_4;ANNEEACC8_5;NBACC9;ACCFREQUENCE9;ANNEEACC9_1;ANNEEACC9_2;ANNEEACC9_3;ANNEEACC9_4;ANNEEACC9_5;NBACC10;ACCFREQUENCE10;ANNEEACC10_1;ANNEEACC10_2;ANNEEACC10_3;ANNEEACC10_4;ANNEEACC10_5;NBACC11;ACCFREQUENCE11;ANNEEACC11_1;ANNEEACC11_2;ANNEEACC11_3;ANNEEACC11_4;ANNEEACC11_5;NBACC12;ACCFREQUENCE12;ANNEEACC12_1;ANNEEACC12_2;ANNEEACC12_3;ANNEEACC12_4;ANNEEACC12_5;NBACC13;ACCFREQUENCE13;ANNEEACC13_1;ANNEEACC13_2;ANNEEACC13_3;ANNEEACC13_4;ANNEEACC13_5;NBACC14;ACCFREQUENCE14;ANNEEACC14_1;ANNEEACC14_2;ANNEEACC14_3;ANNEEACC14_4;ANNEEACC14_5;AUTRESACC;NBAUTRESACC;ANNEEAUTREACC1;ANNEEAUTREACC2;ANNEEAUTREACC3;ANNEEAUTREACC4;ANNEEAUTREACC5;LIEUAUTREACC1;LIEUAUTREACC2;LIEUAUTREACC3;LIEUAUTREACC4;LIEUAUTREACC5;DESCRIPTIONAUTRESACC1;DESCRIPTIONAUTRESACC2;DESCRIPTIONAUTRESACC3;DESCRIPTIONAUTRESACC4;DESCRIPTIONAUTRESACC5;NBAUTRESACCCIRCUIT;NBAUTRESTOUTTERRAIN;EXPCYCLO;EXP125;EXPSUP125;ACCORDNEXTQ;CHOIXACC;RGPMTACC;RECUPANNEE;RECUPLIEU;RECUPANNE;RGPMTAC;CHOIX1;CHOIX2;CHOIX3;CHOIX4;CHOIX5;CHOIX6;CHOIX7;DESCRIPTION;RUPTURE;FAITS;ABS_REACTION;AUTRE_REACTION;PRECISIONREACTIONOUI;RECUL;PRECISIONREACTIONNON;IMPACTCOMPORTEMENT;AUTREUSAGER;REACTIONAUTREUSAGER;CONNAISSANCEREACTIONUSAGER;DIFFICULTES;AGGRAVATION;DIFFICULTES2;EMOTIONS1;EMOTIONS2;EMOTIONS3;EMOTIONS4;EMOTIONS5;EMOTIONS6;AUTRESENTIMENT;CLASSEMENTEMOTIONS1;CLASSEMENTEMOTIONS;CLASSEMENTEMOTIONS5;CLASSEMENTEMOTIONS6;CLASSEMENTEMOTIONS7;CLASSEMENTEMOTIONS8;CLASSEMENTEMOTIONS9;EXPLICATIONRESSENTI;BIENEQUIPE;ALLURE;ALLUREVITEDETAIL;ALLURELENTEDETAIL;SITUATIONPRESSE;SITUATIONDISTRAIT;SITUATIONCONFIANT;SITUATIONCONTROLE;SITUATIONLUDIQUE;SITUATIONPERF;SITUATIONSTRESS;SITUATIONFATIGUE;HUMEURNEUTRE;HUMEURGAI;HUMEURMECONTENT;HUMEURTRISTE;HUMEURCOLERE;CONTRIBUTION1;CONTRIBUTION2;CONTRIBUTION3;CONTRIBUTION4;CONTRIBUTION5;CONTRIBUTION6;CONTRIBUTION7;CONTRIBUTION8;CONTRIBUTION9;ROLEINFRA;ELEMENTINFRA1;ELEMENTINFRA2;ELEMENTINFRA3;ELEMENTINFRA4;ELEMENTINFRA5;ELEMENTINFRA6;ELEMENTINFRA7;ELEMENTINFRA8;ELEMENTINFRA9;ALCOOL;TXALCOOL;STUP;SEMAINE;MOMENTJOURNEE;TEMPS;CAUSEACC1;CAUSEACC2;CAUSEACC3;CAUSEACC4;CAUSEACC5;FORMATIONCAUSE;FORMATION1;FORMATION2;FORMATION3;FORMATION4;FORMATION5;TRAFIC;CHAUSSEE1;CHAUSSEE2;CHAUSSEE3;CHAUSSEE4;TYPEACC;BLESSURE;TETE;COU;THORAX;MEMBRESSUP;COLONNE;BASSIN;MEMBRESINF;HOPITAL;PLUS24H;TRAJET;TYPEROUTE;MOTIF;SENSTRAJET;PASSAGER;VITESSE;DESCEQ1;DESCEQ2;DESCEQ3;DESCEQ4;DESCEQ5;DESCEQ6;DESCEQ7;DESCEQ8;DESCEQ9;DESCEQ10;VEHICULEETE;VEHICULEAUTOMNE;VEHICULEPRINTEMPS;VEHICULEHIVER;VEHICULESEMAINE;VEHICULEWE;VEHMARQUE;VEHCYLINDREE;VEHMODELE;VEHSEGMENT;VEHSIDE;EQ2RMABS;EQ2RMCBS;EQ2RMABSCBS;EQ2RMREGULATEUR;EQ2RMLIMITEUR;EQ2RMPHARESDIRECT;EQ2RMCOUPURE;EQ2RMANTIPATINAGE;EQ2RMANTIXHEELING;EQ2RMSTABILILTE;VEHKM;POINTS;DUREE;AUTRE2RM;VEHPRECMARQUE;VEHPRECCYLINDREE;VEHPRECMODELE;VEHPRECSEGMENT;VEHPRECSIDE;TEMPS2RMPREC;FREQVEHPREC;DATE_NAISS;CSP;SOCIETAIRE;SALARIE;SECTEUR2RM;NBPERSFOYER;SITFAM;NBENF;TRNBENF1;TRNBENF2;TRNBENF3;TRNBENF4;NBAUTOFOYER;NBCYCLOFOYER;NBSCOOTFOYER;NBMOTOFOYER;NBTRIKEFOYER;NB2RMCONDUIT;MARQUE1;CYLINDREE1;MODELE1;SEGMENT1;SIDE1;ANMISECIRCU1;ASS1;FREQ1;USAGE1;NBKM1;GARAGE1;MARQUE2;CYLINDREE2;MODELE2;SEGMENT2;SIDE2;ANMISECIRCU2;ASS2;FREQ2;USAGE2;NBKM2;GARAGE2;MARQUE3;CYLINDREE3;MODELE3;SEGMENT3;SIDE3;ANMISECIRCU3;ASS3;FREQ3;USAGE3;NBKM3;GARAGE3;MARQUE4;CYLINDREE4;MODELE4;SEGMENT4;SIDE4;ANMISECIRCU4;ASS4;FREQ4;USAGE4;NBKM4;GARAGE4;MARQUE5;CYLINDREE5;MODELE5;SEGMENT5;SIDE5;ANMISECIRCU5;ASS5;FREQ5;USAGE5;NBKM5;GARAGE5;NBKMTOT;PERMIS1;PERMIS2;PERMIS3;PERMIS4;PERMIS5;PERMIS6;PERMIS7;PERMIS8;PERMIS9;ANPERMIS1;ANPERMIS6;ANPERMIS7;ANPERMIS2;ANPERMIS3;ANPERMIS8;ANPERMIS9;ANPERMIS4;ANPERMIS5
1033;142;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03NOV1975;7;1;;2;4;4;2;1;;;;3;2;0;2;0;1;HONDA;750;CB-SEVEN FIFTY;Roadster;;1992;37;3;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;NSP;;;;;;;;;NRP;NRP;NRP;NRP;NRP;NRP;NRP;NRP;NRP
676;145;;1;0;4;;;;;;2;3;1989;1981;;;;0;6;;;;;;0;1;;;;;;1;6;1989;;;;;1;6;1989;;;;;0;2;;;;;;0;4;;;;;;0;2;;;;;;0;4;;;;;;1;6;1989;;;;;0;2;;;;;;1;2;1980;;;;;0;3;;;;;;0;;;;;;;;;;;;;;;;;;;2;2;35;1;51;11;1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02JUN1956;7;2;;2;2;3;;NSP;;;;2;0;1;1;0;2;SUZUKI;1400;GSX;Roadster;;2006;29;3;1;4000;;SUZUKI;400;BURGMAN;Scooter;;2007;29;1;2;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11000;3;4;;;;;;;;NRP;;;NRP;1982;;;1974;NRP
176;179;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05JUN1978;5;2;;2;2;3;;NSP;;;;2;1;0;1;0;1;MOTO GUZZI;1200;GRISO 8V;Roadster;;2011;24;2;1;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6000;3;4;;;;;;;;NRP;;;NRP;2010;;;1999;NRP
1574;187;;1;0;5;;;;;;1;5;2009;;;;;0;5;;;;;;0;2;;;;;;0;5;;;;;;0;5;;;;;;0;5;;;;;;0;5;;;;;;1;4;2008;;;;;0;5;;;;;;0;5;;;;;;0;3;;;;;;0;3;;;;;;0;5;;;;;;0;;;;;;;;;;;;;;;;;;;5;12;9;1;6;2;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14JUL1961;7;2;;2;1;1;;NSP;;;;1;0;0;1;0;1;KAWASAKI;750;ZEPHYR;Roadster;;1992;16;1;2;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6000;3;4;;;;;;;;NRP;;;NRP;1987;;;1984;NRP
1383;193;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27JAN1960;6;2;;2;2;2;1;4;;;;3;0;0;1;1;2;BMW;1150;R1150RT;Routière / GT;;2003;16;2;1;15000;;KYMCO;250;QUAD;Quad;;2005;16;3;1;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16000;2;;;;;;;;;NRP;;;1978;NRP;;;NRP;NRP
579;195;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01OCT1971;7;1;;2;1;1;;NSP;;;;1;0;1;2;0;4;HONDA;600;HORNET;Roadster;;2007;37;1;2;12000;;HONDA;650;DOMINATOR;Trail / Supermotard;;1993;37;4;1;3000;;SUZUKI;650;BURGMAN;Scooter;;2002;37;3;2;3000;;DAX;175;BASIQUE;Roadster;;1988;23;4;1;100;;;;;;;;;;;;;18100;2;3;4;;;;;;;NRP;;;1990;2000;;;1990;NRP
774;211;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14SEP1972;7;2;;1;3;4;1;1;;;;2;0;0;1;0;1;YAMAHA;600;FZ6-S FAZER;Roadster;;2000;33;4;1;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;4;3;2;;;;;;;NRP;;;1990;2000;;;1990;NRP
1242;238;477;1;0;5;;;;;;0;3;;;;;;0;4;;;;;;0;3;;;;;;0;5;;;;;;0;5;;;;;;0;1;;;;;;0;3;;;;;;0;2;;;;;;0;2;;;;;;0;4;;;;;;0;1;;;;;;0;4;;;;;;0;2;;;;;;1;1;2007;;;;;bordeaux;;;;;en sortant d'une résidence,tournant à gauche.glissade sur route humide chute entre coussin berlinois et terre plein central.mauvaise maitrise de mon véhicule dû à mon inexpérience(début conduite125).;;;;;0;0;0;1;7;1;71;15;2007;bordeaux;2007;Autre(s) type(s) d'accident(s).;1;;;;;;;"propriétaire d'une 125 depuis une semaine ,avec pourtant un stage 125 à mon actif mais sans expérience 2 roue motorisé avant ;je n'ai pas géré une sortie à droite de résidence avec terre plein central.par une mauvaise utilisation des commandes j'ai glissé ,grimpé sur le terre plein et tombé en touchant avec le guidon une voiture qui venait en sens inverse .L'accident aurait pu être beaucoup plus grave.Je m'en suis sortie avec quelques bleus et une moto neuve partie au garage au bout d'une semaine.";Panique .impossibilité de gérer la moto.;je m'était rendu compte de la difficulté vu mon peu d'expérience et  que la manoeuvre pour moi était difficile.Et donc quand j'ai vu que je ne gérai pas j'ai baissé les bras.Et fait n'importe quoi.;2;1;Forcement,mais comme je l'ai dit c'est par mon manque d'expérience que l'accident a eu lieu..Car la manoeuvre en soi était simple.J'aurai du faire un autre stage 125 avec ma moto avant de rouler sur la route.J'aurai évité tout simplement cet accident.;Inexpérience, émotivité.;;1;1;NSP;;NSP;2;NRP;1;5;6;;;;;3;;;;1;2;;De ne pas pouvoir gérer et maitriser ma moto.;4;3;;;1;1;1;2;NSP;1;4;1;3;3;4;4;4;6;;;;;;;;;1;2;4;;;;;;;2;2;;2;2;1;1;90;0;0;10;0;1;AUT|La formation est à adapter à l utilisateur,j'avais besoin de plus d'heure;;;;;1;1;;;;1;;;;;;;;;;;3;1;3;;0;15;1;2;3;4;;;;;;;2;1;2;1;1;2;YAMAHA;125;YB-R;ROADSTER;2;1;1;1;1;1;1;1;1;1;1;30;12;1;0;;;;;;;;02MAR1959;4;1;;2;3;2;2;4;;;;1;0;0;1;0;1;HONDA;500;CB;Roadster;;2004;37;3;1;14000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14000;2;3;4;5;;;;;;NRP;;;1997;2008;;;1977;2007
1656;245;;1;0;6;;;;;;0;5;;;;;;0;6;;;;;;0;3;;;;;;1;6;2010;;;;;1;6;2010;;;;;0;4;;;;;;0;2;;;;;;0;3;;;;;;0;5;;;;;;0;5;;;;;;0;2;;;;;;0;3;;;;;;0;6;;;;;;0;;;;;;;;;;;;;;;;;;;8;3;5;1;26;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14AUG1973;7;2;;2;1;1;;NSP;;;;1;0;0;1;0;1;YAMAHA;600;XJ6;Roadster;;2011;33;2;1;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;4;3;;;;;;;;NRP;;;NRP;2010;;;1991;NRP
376;247;;1;0;3;;;;;;0;2;;;;;;0;2;;;;;;0;3;;;;;;0;2;;;;;;0;2;;;;;;0;2;;;;;;0;2;;;;;;0;2;;;;;;0;2;;;;;;0;3;;;;;;0;4;;;;;;0;2;;;;;;0;2;;;;;;1;1;2012;;;;;AVEYRON;;;;;un camping car s'est arrêté sur la route afin de tourner dans un chemin privé à gauche - le conducteur a mis le clignotant une fois stoppé. les feux du camping car étaient cachés par les vélos qu'ils transportaient - le mortard devant moi a freiné, comme j'étais déporté afin de voir si nous allions pouvoir doubler je l'ai percuté.;;;;;0;0;0;2;3;1;71;15;2012;AVEYRON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11FEB1970;7;1;;2;1;1;;NSP;;;;1;0;0;1;0;1;KAWASAKI;750;ZR-7;Roadster;;2010;37;1;1;20000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20000;3;;;;;;;;;NRP;;;NRP;2009;;;NRP;NRP
805;262;242;1;0;1;;;;;;0;2;;;;;;0;4;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;0;2;;;;;;0;4;;;;;;2;5;1994;2000;;;;0;3;;;;;;0;4;;;;;;0;2;;;;;;0;2;;;;;;1;3;1972;;;;;1;1;1991;;;;;Dourdan;;;;;Percuté un chevreuil de nuit dans les bois;;;;;0;0;4;2;32;1;66;14;1972;;1972;Alors que vous étiez en train de rouler, un piéton a traversé devant vous.;6;;;;;;;C'etait un soir d'hiver sous la pluie, Au croisement de l'avenue de la République et de la rue Oberkampf à Paris. Le feu était au vert pour moi mais au rouge en sens inverse. Un dame s'est engagée avec son parapluie au moment ou j'arrivai et je l'ai heurté avec mon cale-pied et je suis tombé. La dame à eu la jambe cassée;Pavés mouillés, freinage d'urgence, trajectoire impossible à modifier l'obstacle étant trop près;l'action à été si rapide que je n'ai eu autre choix que de freiner et je pense que la roue avant à du se bloquer simultanément avec le choc. La femme qui traversait n'a rien vu jusqu'à se que je la heurte;NRP;0;;;parce que c'est une situation imprévisible comme se prendre un chevreuil, ce qui m'est arrivé en 1990 ou 91;2;1;2;;son parapluie lui cachait la vue;1;le problème est souvent le même pour de nombreux accidents, le manque d'attention. On ne traverse pas une rue sans regarder;2;6;;;;;;;1;;;;2;;parce que c'était une situation inattendue;3;3;;;1;4;4;4;1;1;1;1;3;4;4;4;4;1;;;;;;;;;1;3;AUT|feux décalés;;;;;;;2;2;;2;1;2;2;0;60;0;20;20;2;;;;;;2;2;;;;2;0;;;;;;;;;;1;1;3;;0;50;1;10;2;3;4;;;;;;4;4;4;4;4;4;YAMAHA;125;YAS3;ROADSTER;2;1;1;1;1;1;1;1;1;1;1;NSP;12;4;1;MOTOBECANE;50;AV88 (BLEUE);ROADSTER;2;4;4;27MAY1952;5;2;;2;2;3;;NSP;;;;2;0;0;1;0;1;YAMAHA;1300;FJR;Routière / GT;;2011;29;1;2;15000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15000;2;3;4;;;;;;;NRP;;;1970;1972;;;1970;NRP
699;264;;1;0;5;;;;;;0;4;;;;;;0;5;;;;;;0;5;;;;;;0;5;;;;;;0;4;;;;;;0;4;;;;;;0;4;;;;;;1;2;NSP;;;;;0;6;;;;;;0;3;;;;;;0;2;;;;;;0;3;;;;;;0;3;;;;;;0;;;;;;;;;;;;;;;;;;;0;1;8;1;41;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09OCT1981;5;2;;2;2;3;;NSP;;;;2;0;0;1;0;1;TRIUMPH;675;STREET TRIPLE R;Roadster;;2011;20;2;2;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000;3;4;;;;;;;;NRP;;;NRP;2007;;;2003;NRP
1330;265;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24MAR1957;5;1;;2;2;3;;NSP;;;;2;1;0;2;0;2;SUZUKI;1400;GSX;Roadster;;2003;37;1;2;35000;;HONDA;750;VF-C;Custom;;1987;37;3;1;15000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50000;2;3;4;;;;;;;NRP;;;1977;2003;;;1977;NRP
584;272;;1;0;3;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;2;4;1996;2007;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;1;3;2007;;;;;0;3;;;;;;3;4;1996;2002;2007;;;0;;;;;;;;;;;;;;;;;;;4;0;47;1;56;12;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16SEP1950;9;2;;2;3;4;1;3;;;;1;3;1;2;0;3;PIAGGIO;200;COSA;Scooter;;1993;28;2;1;1500;;BMW;1000;R100R;Roadster;;1992;28;2;1;4000;;MOTO GUZZI;1000;CALIFORNIA II;Routière / GT;;1985;28;3;1;1000;;;;;;;;;;;;;;;;;;;;;;;;6500;3;4;;;;;;;;NRP;;;NRP;1968;;;1968;NRP
1278;277;;1;1;3;2014;;;;;0;6;;;;;;0;6;;;;;;0;3;;;;;;0;3;;;;;;0;4;;;;;;0;2;;;;;;0;2;;;;;;0;2;;;;;;0;5;;;;;;0;5;;;;;;0;4;;;;;;0;4;;;;;;0;4;;;;;;0;;;;;;;;;;;;;;;;;;;0;1;9;1;1;1;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11AUG1974;5;2;;2;5;4;3;1;;;;1;0;0;1;0;1;HONDA;600;CB-F S;Roadster;;2006;31;1;2;11680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11680;3;4;;;;;;;;NRP;;;NRP;2006;;;1993;NRP
1388;331;;1;0;6;;;;;;0;5;;;;;;0;5;;;;;;0;4;;;;;;0;5;;;;;;0;2;;;;;;1;4;2012;;;;;0;6;;;;;;0;5;;;;;;1;6;2010;;;;;0;6;;;;;;0;3;;;;;;1;6;2011;;;;;1;6;2010;;;;;0;;;;;;;;;;;;;;;;;;;0;1;6;0;;NRP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10JUL1979;5;2;;2;1;1;;NSP;;;;0;0;1;1;0;2;SUZUKI;650;GSX-F;Routière / GT;;2008;20;1;2;25000;;PEUGEOT;125;SATELIS;Scooter;;2007;20;3;1;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25700;3;4;;;;;;;;NRP;;;NRP;2009;;;1997;NRP
1696;375;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01DEC1961;4;2;;2;4;4;2;1;;;;1;0;1;1;0;2;BMW;1200;R1200R;Roadster;;2008;24;2;2;15000;;BMW;200;C1;Scooter;;2002;24;2;3;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23000;2;3;4;;;;;;;NRP;;;1978;1980;;;1980;NRP
217;383;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08DEC1955;5;1;;2;2;3;;NSP;;;;2;1;0;1;0;2;DUCATI;1200;MULTISTRADA;Roadster;;2010;37;2;1;3000;;GINOMOTO;50;CASPER;Scooter;;2011;10;1;3;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7000;2;3;4;;;;;;;NRP;;;1974;2009;;;1974;NRP
